F1,F2,Winner
Rob Font,Cody Garbrandt,Rob Font
Yan Xiaonan,Carla Esparza,Yan Xiaonan
Justin Tafa,Jared Vanderaa,Justin Tafa
Felicia Spencer,Norma Dumont,Felicia Spencer
Ricardo Ramos,Bill Algeo,Ricardo Ramos
Jack Hermansson,Edmen Shahbazyan,Jack Hermansson
Ben Rothwell,Chris Barnett,Ben Rothwell
Court McGee,Claudio Silva,Court McGee
Bruno Silva,Victor Rodriguez,Bruno Silva
Josh Culibao,Nuerdanbieke Shayilan,Josh Culibao
David Dvorak,Juancamilo Ronderos,David Dvorak
Yancy Medeiros,Damir Hadzovic,Yancy Medeiros
Rafael Alves,Damir Ismagulov,Rafael Alves
